root info:  osm {'version': '0.6', 'generator': 'CGImap 0.8.6 (2356102 spike-08.openstreetmap.org)', 'copyright': 'OpenStreetMap and contributors', 'attribution': 'http://www.openstreetmap.org/copyright', 'license': 'http://opendatacommons.org/licenses/odbl/1-0/'}
nspaces =  {}
node 1067668568 : ('33.6657172', '130.6787603')
node 1067668592 : ('33.6667525', '130.6777253')
node 1067668624 : ('33.6451903', '130.6690076')
node 1067668690 : ('33.6572990', '130.6533370')
node 1067669119 : ('33.6362626', '130.6526567')
node 1067669160 : ('33.6350885', '130.6525853')
node 1067669186 : ('33.6704452', '130.6711040')
node 1067669259 : ('33.6665065', '130.6662727')
node 1067669260 : ('33.6659527', '130.6778093')
node 1067669390 : ('33.6366720', '130.6497512')
node 1067669448 : ('33.6678272', '130.6781127')
node 1067669713 : ('33.6622014', '130.6637153')
node 1067669737 : ('33.6347573', '130.6529075')
node 1067669811 : ('33.6525009', '130.6786932')
node 1067669821 : ('33.6522593', '130.6747384')
node 1067669822 : ('33.6568638', '130.6742029')
node 1067669913 : ('33.6424828', '130.6504376')
node 1067669917 : ('33.6422705', '130.6511423')
node 1067669924 : ('33.6701785', '130.6731756')
node 1067669936 : ('33.6581630', '130.6504700')
node 1067669950 : ('33.6702250', '130.6739200')
node 1067669983 : ('33.6509694', '130.6737300')
node 1067669991 : ('33.6641868', '130.6644449')
node 1067670010 : ('33.6438108', '130.6487887')
node 1067670077 : ('33.6596823', '130.6781837')
node 1067670090 : ('33.6603858', '130.6828710')
node 1067670098 : ('33.6372902', '130.6509956')
node 1067670163 : ('33.6584878', '130.6725996')
node 1067670197 : ('33.6367146', '130.6533754')
node 1067670237 : ('33.6631375', '130.6773791')
node 1067670467 : ('33.6510464', '130.6732251')
node 1067670571 : ('33.6464315', '130.6681612')
node 1067670653 : ('33.6724520', '130.6644158')
node 1067670766 : ('33.6637172', '130.6645133')
node 1067670865 : ('33.6607718', '130.6703931')
node 1067670868 : ('33.6668073', '130.6644380')
node 1067670898 : ('33.6584420', '130.6723444')
node 1067670944 : ('33.6345921', '130.6533019')
node 1067670951 : ('33.6734976', '130.6685334')
node 1067670981 : ('33.6643012', '130.6695029')
node 1067671043 : ('33.6640022', '130.6646532')
node 1067671283 : ('33.6596528', '130.6839284')
node 1067671325 : ('33.6578811', '130.6745579')
node 1067671340 : ('33.6700140', '130.6715995')
node 1067671355 : ('33.6707060', '130.6763430')
node 1067671359 : ('33.6505750', '130.6734471')
node 1067671394 : ('33.6526238', '130.6745482')
node 1067671504 : ('33.6625158', '130.6789725')
node 1067671690 : ('33.6597240', '130.6497020')
node 1067671776 : ('33.6513533', '130.6767483')
node 1067671849 : ('33.6701524', '130.6727374')
node 1067671894 : ('33.6597881', '130.6838878')
node 1067671940 : ('33.6536991', '130.6790884')
node 1067671998 : ('33.6497970', '130.6747715')
node 1067672064 : ('33.6342867', '130.6511149')
node 1067672105 : ('33.6588130', '130.6538931')
node 1067672400 : ('33.6646952', '130.6647791')
node 1067672618 : ('33.6719359', '130.6684485')
node 1067672633 : ('33.6719229', '130.6647862')
node 1067672668 : ('33.6551305', '130.6780906')
node 1067672771 : ('33.6649954', '130.6647940')
node 1067672867 : ('33.6605441', '130.6740242')
node 1067672886 : ('33.6594880', '130.6473850')
node 1067672932 : ('33.6618902', '130.6792705')
node 1067673053 : ('33.6651076', '130.6761168')
node 1067673079 : ('33.6463214', '130.6706283')
node 1067673141 : ('33.6693770', '130.6630855')
node 1067673144 : ('33.6576050', '130.6520680')
node 1067673215 : ('33.6724778', '130.6627835')
node 1067673242 : ('33.6629910', '130.6678747')
node 1067673289 : ('33.6569704', '130.6738336')
node 1067673300 : ('33.6587832', '130.6719696')
node 1067673384 : ('33.6699704', '130.6722960')
node 1067673421 : ('33.6377492', '130.6529699')
node 1067673425 : ('33.6697933', '130.6774679')
