edge_id,start,end,length,linestring,highway,oneway,reversed,lanes,name
84,27,8282,24.711,LINESTRING (131.6859814 32.5058366 131.6862447 32.5058276),residential,False,False,nan,nan
85,28,24,7.635,LINESTRING (131.6785454 32.5055267 131.678515 32.505463),unclassified,False,True,nan,nan
86,28,8487,35.464,LINESTRING (131.6785454 32.5055267 131.6782651 32.5057408),residential,False,True,nan,nan
87,28,3739,213.763,LINESTRING (131.6785454 32.5055267 131.6790118 32.5059994 131.679852 32.506827 131.6798908 32.5068808 131.6799077 32.5069531 131.6799056 32.5070344),unclassified,False,False,nan,nan
88,29,8600,10.395,LINESTRING (131.6699346 32.5055783 131.6698492 32.5055187),service,False,False,nan,nan
89,29,8594,17.612,LINESTRING (131.6699346 32.5055783 131.6698123 32.5056985),service,False,True,nan,nan
90,29,23,25.806,LINESTRING (131.6699346 32.5055783 131.6701137 32.5054021),service,False,False,nan,nan
91,29,8592,90.301,LINESTRING (131.6699346 32.5055783 131.669946 32.5056121 131.6699264 32.5056563 131.6696857 32.505869 131.6696464 32.5058828 131.6696022 32.5058842 131.6695563 32.505869 131.6692616 32.5056659),service,False,True,nan,nan
92,30,26,38.743,LINESTRING (131.6709028 32.5056769 131.6705807 32.5054587),secondary,False,False,nan,土々呂日向線
93,30,3631,65.142,LINESTRING (131.6709028 32.5056769 131.6707041 32.5059143 131.6705162 32.5060077 131.6704395 32.5060983),unclassified,False,False,nan,nan
94,30,3517,89.73,LINESTRING (131.6709028 32.5056769 131.6712276 32.5059023 131.6712428 32.5059134 131.6713117 32.5059606 131.6716417 32.5061896),secondary,False,True,nan,土々呂日向線
95,31,32,29.254,LINESTRING (131.6911655 32.5056858 131.6908874 32.505805),residential,False,False,nan,nan
96,31,7240,90.909,LINESTRING (131.6911655 32.5056858 131.6915804 32.5064247),residential,False,True,nan,nan
97,31,39,118.331,LINESTRING (131.6911655 32.5056858 131.6914299 32.5055716 131.6918482 32.5063048),residential,False,True,nan,nan
98,32,31,29.254,LINESTRING (131.6908874 32.505805 131.6911655 32.5056858),residential,False,True,nan,nan
99,32,43,90.856,LINESTRING (131.6908874 32.505805 131.6910988 32.50616 131.6913152 32.5065381),residential,False,False,nan,nan
100,32,44,120.037,LINESTRING (131.6908874 32.505805 131.6906384 32.5059098 131.6909778 32.5065168 131.6911437 32.5066198),residential,False,True,nan,nan
101,33,7256,22.669,LINESTRING (131.6991822 32.5060514 131.6991297 32.5058524),residential,False,False,nan,nan
102,33,7254,54.059,LINESTRING (131.6991822 32.5060514 131.6986059 32.5060395),secondary,False,False,nan,遠見半島線
103,33,34,76.463,LINESTRING (131.6991822 32.5060514 131.6999968 32.5060817),secondary,False,True,nan,遠見半島線
104,34,33,76.463,LINESTRING (131.6999968 32.5060817 131.6991822 32.5060514),secondary,False,False,nan,遠見半島線
105,34,7255,38.578,LINESTRING (131.6999968 32.5060817 131.6999152 32.506026 131.6996744 32.5058662),unclassified,False,True,nan,nan
106,34,41,205.55600000000004,LINESTRING (131.6999968 32.5060817 131.7001496 32.5060843 131.7002082 32.5060663 131.7002687 32.5060252 131.7005706 32.5057799 131.7006369 32.5057274 131.7007163 32.5056952 131.7007945 32.5056758 131.7008706 32.5056767 131.700986 32.505712 131.7010059 32.5057289 131.7010176 32.5057404 131.7010815 32.5058029 131.701132 32.505859 131.701535 32.506281 131.7016185 32.5063865),secondary,False,True,nan,遠見半島線
107,35,37,75.676,LINESTRING (131.6779218 32.5062054 131.6786206 32.5065458),residential,False,True,nan,nan
108,35,37,152.152,LINESTRING (131.6779218 32.5062054 131.6777138 32.5064526 131.6777074 32.5064776 131.6777189 32.506501 131.6777458 32.5065198 131.6784135 32.5068156 131.6784636 32.5068146 131.6784919 32.506802 131.6785161 32.506776 131.6786206 32.5065458),residential,False,False,nan,nan
