u,v,key,osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,service,width,bridge,maxspeed,tunnel,access
734832509,770592037,0,166911583,residential,False,False,34.674,"LINESTRING (130.3600514 33.5748936, 130.3601091 33.5752017)",,,,,,,,,
734832509,734832510,0,703511017,tertiary,False,False,49.829,"LINESTRING (130.3600514 33.5748936, 130.360589 33.5749073)",2,,,,5,,,,
734832509,1804734398,0,703511017,tertiary,False,True,46.605,"LINESTRING (130.3600514 33.5748936, 130.3595492 33.5748691)",2,,,,5,,,,
734832509,2014971963,0,169305860,residential,False,False,66.824,"LINESTRING (130.3600514 33.5748936, 130.3601647 33.5747609, 130.3604141 33.5744458, 130.3604451 33.5743909)",,,,,,,,,
734832510,1792690586,0,167940361,residential,False,False,36.073,"LINESTRING (130.360589 33.5749073, 130.3606611 33.5752261)",,,,,,,,,
734832510,2014971976,0,703511017,tertiary,False,False,14.743,"LINESTRING (130.360589 33.5749073, 130.3607473 33.5749209)",2,,,,5,,,,
734832510,734832509,0,703511017,tertiary,False,True,49.829,"LINESTRING (130.360589 33.5749073, 130.3600514 33.5748936)",2,,,,5,,,,
734832511,734832512,0,28444328,tertiary,False,False,118.247,"LINESTRING (130.3640041 33.575064, 130.3652781 33.5751287)",2,,,,5,,,,
734832511,772816426,0,28444328,tertiary,False,True,121.301,"LINESTRING (130.3640041 33.575064, 130.3626967 33.5750048)",2,,,,5,,,,
734832511,770592048,0,168089650,residential,False,False,37.014,"LINESTRING (130.3640041 33.575064, 130.3639508 33.5753939)",,,,,,,,,
734832511,1793979909,0,"[816129730, 168089650]",residential,False,True,150.038,"LINESTRING (130.3640041 33.575064, 130.3640806 33.5744952, 130.3641959 33.5737242)",,,,,,,,,
